Servicio,2,3,4,5,6,7,9,Categoria,Descripción,Detalle,Duracion (Horas),Fecha,Ingles,Inicio,Last edited time,Mensaje,Oculto,PDF,Precio de Venta,Ref,Relacionado con Servicios (1) (Relacionado con precios (Servicios/Ingresos )),Relacionado con Servicios/Ingresos (1) (Relacionado con precios (Servicios/Ingresos )),Relacionado con Servicios/Ingresos (1) (Relacionado con precios (Servicios/Ingresos )) 1,Relacionado con Servicios/Ingresos (1) (Relacionado con precios (Servicios/Ingresos )) 2,Related to Servicios BAckup 24juilio (1) (Relacionado con precios (Servicios/Ingresos )),"Servicios/Ingresos ",Subítem,costos,r
Bote Pn-Let,"84.000,00 COP","126.000,00 COP","168.000,00 COP","210.000,00 COP","252.000,00 COP",,,Traslados,"Transporte fluvial desde Puerto Nariño a Leticia : 

7:00 hs 
10:00 hs
13:30 hs
15:30 hs",Transporte Fluvial Rio Amazonas,,,,Puerto Nariño (https://www.notion.so/Puerto-Nari-o-b13a0cf777d94a82b3e439be050a6cba?pvs=21),2 de junio de 2025 16:36,,,,"50.000,00 COP",Bote Leticia / Puerto Nariño,"Bote Pn-Let (https://www.notion.so/Bote-Pn-Let-a80b873ab3654372bf28e7470e452105?pvs=21), Bote Pn-Let (https://www.notion.so/Bote-Pn-Let-44e5e75cb88e42aa91ab87f98906744c?pvs=21)",,Bote Pn-Let (https://www.notion.so/Bote-Pn-Let-f3b1a7e5c87948fd9b2c7d9b0e91fdfa?pvs=21),"Sin título (https://www.notion.so/2759aafed3514c478624b6876531eaaf?pvs=21), Sin título (https://www.notion.so/7a29cfc8b2954596ad06d197056ca1af?pvs=21)",,Traslado Pn-Natura Park (https://www.notion.so/Traslado-Pn-Natura-Park-ad86db50b4804cec95d4707c074a6ccc?pvs=21),,,"Bote Pn-Let (https://www.notion.so/Bote-Pn-Let-ee49d5dc895d4442b0caea9949503fc7?pvs=21), Bote Pn-Let (https://www.notion.so/Bote-Pn-Let-632c98265c2b4cd7b718fcc42eabef5b?pvs=21)"
Caminata Nocturna,"140.000,00 COP","210.000,00 COP","280.000,00 COP","350.000,00 COP","420.000,00 COP",,,Nocturno,"Duracion: 2.5 hrs

¿Amante de la naturaleza y los animales nocturnos? !Esto es perfecto para ti! Anímate a hacer senderismo por la selva amazónica en su momento de mayor actividad. ",Experimenta la selva amazónica en una fascinante caminata nocturna,"0,2",,Tarifas%206aac43ecf41b48959fb6a79e6994d7c2/Caminata%20Nocturna%205208e3e0f94d4d5c98ce8087e7f3e365/2024-06-24_14-05_2.png,Puerto Nariño (https://www.notion.so/Puerto-Nari-o-b13a0cf777d94a82b3e439be050a6cba?pvs=21),27 de mayo de 2025 12:28,,,Tarifas%206aac43ecf41b48959fb6a79e6994d7c2/Caminata%20Nocturna%205208e3e0f94d4d5c98ce8087e7f3e365/Screenshot_20240624_162031_Drive.png,"70.000,00 COP","Caminata en Selva Nocturna ","Caminata Nocturna (https://www.notion.so/Caminata-Nocturna-01ff15bfacfc474382d8a66122121db4?pvs=21), Caminata Nocturna (https://www.notion.so/Caminata-Nocturna-b256153b12d64a709a608ef6cb6b06f6?pvs=21), Caminata Nocturna (https://www.notion.so/Caminata-Nocturna-d60c0be6bf374da4bdc629592c710c3e?pvs=21)",,"Caminata Nocturna (https://www.notion.so/Caminata-Nocturna-0337b57b8e9242eab4c2c450e393eab1?pvs=21), Caminata Nocturna (https://www.notion.so/Caminata-Nocturna-5c679c9f1cf14dea80f7a494f308906d?pvs=21)","Sin título (https://www.notion.so/149e23407c7549ecad4397e580926300?pvs=21), Sin título (https://www.notion.so/33985bae26c449febb265d4872606ee4?pvs=21), Sin título (https://www.notion.so/5a384c1ff88b4929a0146ffcf27e3ef2?pvs=21)",,"Caminata N_Thomas _SIN_FECHA (https://www.notion.so/Caminata-N_Thomas-_SIN_FECHA-defc697a132b4b888bbca36e3191378d?pvs=21), Caminata Nocturna (https://www.notion.so/Caminata-Nocturna-130e87951917436e8f6da2ac29fcf76d?pvs=21)",,,"Caminata Nocturna (https://www.notion.so/Caminata-Nocturna-363ab118bc9e4cffb6128af41e7cf30a?pvs=21), Caminata Nocturna (https://www.notion.so/Caminata-Nocturna-e6b9dff269b048d8a61910fca0fc063f?pvs=21), Caminata Nocturna (https://www.notion.so/Caminata-Nocturna-9bf16ceb13ae453a9a4d992c0fc2d437?pvs=21)"
Amacayacu con Alojamiento,"468.000,00 COP","672.000,00 COP","732.000,00 COP","864.000,00 COP","1.224.000,00 COP",,,Con Alojamiento,"Esta ruta de senderismo por el Parque Natural Amacayacu te llevara por las profundidades de la selva amazonica a conocer un Pueblo indigena. ",Pasa una noche en la comunidad San Martín de Amacayacu.,2,,Tarifas%206aac43ecf41b48959fb6a79e6994d7c2/Amacayacu%20con%20Alojamiento%20a27fc8e39ac440b1a124e3052cf29908/Screenshot_20240624_161749_Drive.png,Puerto Nariño (https://www.notion.so/Puerto-Nari-o-b13a0cf777d94a82b3e439be050a6cba?pvs=21),7 de junio de 2025 20:10,,,Tarifas%206aac43ecf41b48959fb6a79e6994d7c2/Amacayacu%20con%20Alojamiento%20a27fc8e39ac440b1a124e3052cf29908/Screenshot_20240624_162128_Drive.png,"336.000,00 COP","Senderismo hacia Comunidad San Martin de Amacayacu con Alojamiento ","Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-051042f6efb744c2ba8620b8a2d88d82?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-5546c3c889e449e9b6bc3e79a53afaa0?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-b6cc39273d03489bb95b916e131c1cf4?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-f11ec1fb936d48ba85b03cfa901bf8bb?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-d6f6d44a665445a882899b07b1ebcd70?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-563d7c7b93144757b28fd9a650a9848d?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-41ca626c4c15483fba27ef5b1cfbd676?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-6abe9e59e5a2474e9f086b1c4fd46919?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-85e33d19b6724d1c87b0594382593e87?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-89d37d1e57004e229a127d92dbd25090?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-4c2dcf9a13984b6792f57b81c57f9cbe?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-1f7595d4f71c48f099c0e7d5de35a30c?pvs=21)",,"Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-1a23aad2ac824c46af1bba63ea4ba4a7?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-1d68c8b64c2342b49fa68d4f2a865489?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-2551b75180884970bff823afc8fa20d7?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-298e88ed4a394aeb9cc68512fa6d5ef6?pvs=21)","Sin título (https://www.notion.so/1ad6007a02ae478aa26a75bb3f701228?pvs=21), Sin título (https://www.notion.so/37868da55e4a453798a841ed0f5fa171?pvs=21), Sin título (https://www.notion.so/3a0cf6fdfd504ce9988840b61eef6c6e?pvs=21), Sin título (https://www.notion.so/5e0a2999aa8f468cb800a3379de74b2a?pvs=21), Sin título (https://www.notion.so/7102c465556e41d6811cbf51fd8c73ea?pvs=21), Sin título (https://www.notion.so/801edacce92e4a74904ba6fc8e81dcac?pvs=21), Sin título (https://www.notion.so/8131767b0a564122aff41d8563b39622?pvs=21), Sin título (https://www.notion.so/8862803d3b734109b914b05a7b20cc25?pvs=21), Sin título (https://www.notion.so/c18961d1ccd6421fbbf399875d7975e5?pvs=21), Sin título (https://www.notion.so/c4668fa7ce4e40b7b22d3fbc3781d3f4?pvs=21), Sin título (https://www.notion.so/cf03570710824d569d75dff1547ec560?pvs=21), Sin título (https://www.notion.so/d90c85dce4f94f628353dcdac6a4397e?pvs=21)",,"Amacayacu + Minga (https://www.notion.so/Amacayacu-Minga-dd5f6c628f7747eb98ba44bafc6baedc?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-38e430a30d91457cbfb2b4cd266250df?pvs=21), Amacayacu _Felipe _SIN_FECHA (https://www.notion.so/Amacayacu-_Felipe-_SIN_FECHA-4e8ee1181a834b609e2544b85fa5a8e3?pvs=21), Amacayacu _Gorka y_130824-11:00 (https://www.notion.so/Amacayacu-_Gorka-y_130824-11-00-f56f4ed4f7fd4087947c7f1f8167b396?pvs=21), Amacayacu + Minga (https://www.notion.so/Amacayacu-Minga-99dfcb937c32482ea5f65cba6a931bb9?pvs=21), Amacayacu +_Mamaelo_110825-00:00hs (https://www.notion.so/Amacayacu-_Mamaelo_110825-00-00hs-1f2f62cee1e38009a8f9dc2836662c47?pvs=21)",,,"Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-48180d9ee16c449495499eb734410da6?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-7bb5189efd484ee79a0739ab24565b36?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-8532b5f5a3e34b31ad19dd1927300e15?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-9885e52893d3497891e29da0e42ed81d?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-7934368222054b4ebba6563a64feec72?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-efde768a0a1e4e73a172f430a6022517?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-158d7a3c7f124c0e8d8f7f5d898605c4?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-cde452f5708a46f39e570b36fc094ad5?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-dcf509e7602c47138d306352687b9dfd?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-c99e83b3fb7c4645bc9a064ee6a49831?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-480a510467734eafabe0642dc5f48c49?pvs=21), Amacayacu con Alojamiento (https://www.notion.so/Amacayacu-con-Alojamiento-4b07405051564628881ab9ac13320c20?pvs=21)"
Bote Moc-Pn,"44.000,00 COP","66.000,00 COP","88.000,00 COP","110.000,00 COP","132.000,00 COP",,,,,,"0,2",,,,4 de noviembre de 2024 21:39,,,,"22.000,00 COP",,Bote Moc-Pn (https://www.notion.so/Bote-Moc-Pn-7f724165854d4f34974631245d7d120c?pvs=21),,,Sin título (https://www.notion.so/aadc25edf23b4fc687f088990458c5f2?pvs=21),,,,,Bote Moc-Pn (https://www.notion.so/Bote-Moc-Pn-37c5ccb41d054f91afd03f51569da156?pvs=21)
Pura Vida Jungle Lodge Puerto Nariño,"80.000,00 COP","120.000,00 COP","160.000,00 COP","200.000,00 COP","240.000,00 COP",,,Alojamientos increibles,"Descansa con los sonidos de la naturaleza en una Cabaña en selva de Puerto Nariño a 15 minutos caminando de la calle principal del pueblo. ",Disfruta de una estancia tranquila en una cabaña en la selva de Puerto Nariño a tan solo minutos de camino desde la calle principal del pueblo.,1,,,Puerto Nariño (https://www.notion.so/Puerto-Nari-o-b13a0cf777d94a82b3e439be050a6cba?pvs=21),27 de mayo de 2025 12:24,,,,"50.000,00 COP",Noche en Jungle Lodge en Puerto Nariño,"Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-4b2316aeeed24e16a00d58ee817ccbd4?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-656fabdfa5c64a358eb73777f82bcc17?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-789a3a5e23ef4d78bba53d24336ce689?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-881ae6b5b7de4520abae00640eb6f847?pvs=21), Alojamiento Pn  (https://www.notion.so/Alojamiento-Pn-e5c3709136e3401f908c0977d1a7851d?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-e3b454793cee49c387fba71d2933c5cf?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-2bbd456f566b42af86d06a880761904c?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-0945f56605724a30bc94a7d3f2323793?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-6167dbdc74f04bf0a91a2b7af93adcef?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-19ffb70497704fd9ad25f78a804ce4f1?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-bf60ae401fdc4ba693e4ed0795a9c7f1?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-d9c8736ac3b141c0b41269198728eb23?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-0e08c97e20de438092fcca1d94320997?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-4ded6710ea5f470398fe671231516a83?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-1176569f65df4057bc5cbed642c09fb6?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-8cdc0e17b2fc416ca1e96448dda1ad2e?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-c894b69ab06845269270d757f84ddb13?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-e348d2ac581f4657b5b7a59659ad9928?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-9405cbbaed284fb49ab106c5dac5eb33?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-c519e8ad6f6043b09805c4091dee5b18?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-eab47d161ce54a44b3343dea254003b6?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-3a332b749b454b96b57855be39b1ce5e?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-8505ed5220ec490b97079973bd565fc9?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-3f91152436bd4f1fbf52f08646538f83?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-796a345286ce486ba9e0956438e07d7d?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-26b9958d546d45c3af98e2d28665148b?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-550aecaad9dd44b99fd673c9117620f6?pvs=21)",,"Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-1a9969f20a6449378d1c3903bdc83d8f?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-1cf2d890283d4c9d9fc01c7e48898c2d?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-6795af97c5ab470d8280739790f7bb69?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-d0c3f1b9af5941f292e235221b52bada?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-ffa493050cf141b58c807e4d1b44d086?pvs=21)","Sin título (https://www.notion.so/073d49097fa0472cb4a7e845434a6d2f?pvs=21), Sin título (https://www.notion.so/08645f10fac0423d93e9eee35163e110?pvs=21), Sin título (https://www.notion.so/091a3136614f45f3b2890af4f47f5592?pvs=21), Sin título (https://www.notion.so/2041b93106a843b88de3925b89f65a60?pvs=21), Sin título (https://www.notion.so/21bd4d3a54964ca0824a4bbf171791cf?pvs=21), Sin título (https://www.notion.so/22f7955bccff4cb1a7f913659a31a0d8?pvs=21), Sin título (https://www.notion.so/3d57a3c6382743c8a5bc6cdfe17b990c?pvs=21), Sin título (https://www.notion.so/3f41485ff4f94476871c8e066e2c88f1?pvs=21), Sin título (https://www.notion.so/458c15648cf248b38b6ff61ca37ba57e?pvs=21), Sin título (https://www.notion.so/467ded8e563f4a7f930f28a87ed71a2e?pvs=21), Sin título (https://www.notion.so/5d63f38469c54bdb8cf1fb0daffe9886?pvs=21), Sin título (https://www.notion.so/5e9f751953544b9eb471ae25bdf228fe?pvs=21), Sin título (https://www.notion.so/6a6471a0429743dfa8dec4fd6ee1b920?pvs=21), Sin título (https://www.notion.so/6bbc5560591c4a71a222aeb43ebe8280?pvs=21), Sin título (https://www.notion.so/7b441373040c4861b208ddbfb3bb1c5f?pvs=21), Sin título (https://www.notion.so/8240593263614c2f97fb51d14ff1e0f1?pvs=21), Sin título (https://www.notion.so/8c94ada9e9a24a7794e1326875cd20b5?pvs=21), Sin título (https://www.notion.so/a79b348e4d154dfbac9abede83be713e?pvs=21), Sin título (https://www.notion.so/aa3bd0280b194009aaae1a5e0d83c26d?pvs=21), Sin título (https://www.notion.so/b13bd374f61842babbca404414f5eb2e?pvs=21), Sin título (https://www.notion.so/cd926eb755554a81810afbc11e48b979?pvs=21), Sin título (https://www.notion.so/da48d6e3f7c445d9bd731b2c6d7edce4?pvs=21), Sin título (https://www.notion.so/da8dc75f4f6a4eb794b5e38088d76110?pvs=21), Sin título (https://www.notion.so/dac35a116eae48bf822cdcd7d5d06bdc?pvs=21), Sin título (https://www.notion.so/dc917625e92d48719d19fdd362c7b699?pvs=21), Sin título (https://www.notion.so/dd64e3ccf557463fba39975290f42a74?pvs=21), Sin título (https://www.notion.so/f5c60d398f6e42e8a1bab176a2f009fe?pvs=21), Sin título (https://www.notion.so/f68f6cd0f61748fca28a490993447868?pvs=21)",,"Alojamient_Ana y R_SIN_FECHA (https://www.notion.so/Alojamient_Ana-y-R_SIN_FECHA-a75354cb95a740e995dce07ba16fae0c?pvs=21), Alojamient_Mireya _190824-18:00 (https://www.notion.so/Alojamient_Mireya-_190824-18-00-24a5d8509a024a77be26fca5174a27ed?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-fb04c5f41592400b80fa7d64e381074e?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-becf0fdb711c4588a7da5633242f0fb5?pvs=21), Alojamient_Olga x _SIN_FECHA (https://www.notion.so/Alojamient_Olga-x-_SIN_FECHA-f0f796f905f0442e9eff78ee7a4ae6ee?pvs=21), Alojamient_Jessica_SIN_FECHA (https://www.notion.so/Alojamient_Jessica_SIN_FECHA-9a9c430a1d2e409c91ccbd8033c5cfd5?pvs=21), Alojamient_Jessica_SIN_FECHA (https://www.notion.so/Alojamient_Jessica_SIN_FECHA-9547e4e35737425da6274323a4dd3eae?pvs=21), Alojamient_Rocio x_SIN_FECHA (https://www.notion.so/Alojamient_Rocio-x_SIN_FECHA-c1ec18b7b3074bb0b9c2a00317d9e397?pvs=21), Alojamient_Jorge x_SIN_FECHA (https://www.notion.so/Alojamient_Jorge-x_SIN_FECHA-dbc64c9a81434229ad34b6486ac7482e?pvs=21), Alojamient_Felipe _SIN_FECHA (https://www.notion.so/Alojamient_Felipe-_SIN_FECHA-8a15c58d426247b09605e4e5bfcf53d6?pvs=21), Alojamient_Gorka y_SIN_FECHA (https://www.notion.so/Alojamient_Gorka-y_SIN_FECHA-c30ec3359e7f4bf5ab4c91c75a85fb2f?pvs=21), Alojamient_Emanuel_SIN_FECHA (https://www.notion.so/Alojamient_Emanuel_SIN_FECHA-0bbbd4ee95124b8e9b501b5ea76e958a?pvs=21), Alojamient_Gisela _SIN_FECHA (https://www.notion.so/Alojamient_Gisela-_SIN_FECHA-6a511a045fc942d792498512378f0232?pvs=21), Alojamient_Inigo x_SIN_FECHA (https://www.notion.so/Alojamient_Inigo-x_SIN_FECHA-d25722366a2c4e81a06b3e6b446e3007?pvs=21), Alojamient_Oliver _SIN_FECHA (https://www.notion.so/Alojamient_Oliver-_SIN_FECHA-cdf07ee046e54e2a92c30c1e5a6673ba?pvs=21)",,,"Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-20f0b531f12c4eb980e15d5b3a6b03ac?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-2c4045bef4a34843a60f998b31b2cb5f?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-62b9ba5bd7a24b28b146622453d8f622?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-7f46c7ae326d4b1fa928d9fe4d1bc2ce?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-d0db6ab5e39147969b6ca586f0bdc442?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-1454f40aa0fd46d4ac899a244306e9cc?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-1e82288307dc4a2cb821f7ad602843ee?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-20b4edf24c4142caa2c9bc3f77176bd4?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-912f121e551d4ee38904a63df8fd7af4?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-23d0097443964ab091d44b30393496d9?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-56bcf9b8f6f94535b82ddd2bd83046c4?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-ec68186a96454081b23cf04fc12ab9c5?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-724c9e46da2e487c8dc9b691f1022a9e?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-636e5586e78e412fafcca839cc86632b?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-33ecf1824ed74c79a0116959b73840eb?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-409d609462054d87af49dcb36401b14f?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-984cf0f4f4a3453eb75bcda290d38271?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-fb1f54c9f4504fdfbead2d65306ecfbc?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-72f33cc3537e4f32936bafb05807afe4?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-0af26b5bcab84081babf9feb9cec5392?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-4e4721d4e654493b923c19d2421d5e1a?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-609c937ca5c744728051f8b52962398f?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-0039b8630d6e482397fc28273c945b81?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-c73e4261331542adac5ea639d436b896?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-3044b07bb2ae4110aa03b498d68da019?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-5f7bb8f0650e473abb7594b21fb91426?pvs=21), Alojamiento Pn (https://www.notion.so/Alojamiento-Pn-79d0a254eb3d48139404125761559dc6?pvs=21)"
Amacayacu Full Day desde Let,"340.000,00 COP","450.000,00 COP","620.000,00 COP","400.000,00 COP","480.000,00 COP",,,Dia Completo,"Duracion : 7 hrs
Inicio: 7:00 am 
Fin: 5:30 pm

Esta ruta de senderismo por el Parque Natural Amacayacu te llevara por las profundidades de la selva amazonica a conocer un Pueblo indigena. ","Visita la comunidad indígena en el área del Parque Nacional Amacayacu, donde se preservan tradiciones y estilos de vida milenarios. Participa en un taller con una artesana local y crea tus propios recuerdos del viaje.

Un miembro de la comunidad te guiará en un recorrido por el interior de la selva, mostrándote su modo de vida y sus costumbres.",1,,Tarifas%206aac43ecf41b48959fb6a79e6994d7c2/Senderismo%20a%20la%20Comunidad%20indigena%20Amacayacu%20e5924b73c93c4bcbbcad2c5a5de31bf2/Screenshot_20240624_161749_Drive.png,Leticia (https://www.notion.so/Leticia-2aede29b75a34a88a64330f13ab17ca6?pvs=21),2 de junio de 2025 15:11,,,Tarifas%206aac43ecf41b48959fb6a79e6994d7c2/Senderismo%20a%20la%20Comunidad%20indigena%20Amacayacu%20e5924b73c93c4bcbbcad2c5a5de31bf2/Screenshot_20240624_162128_Drive.png,"250.000,00 COP","Senderismo a la Comunidad indigena Amacayacu ",Amacayacu Full Day (https://www.notion.so/Amacayacu-Full-Day-873c10affd1f4d1b8747f05d6b7306a5?pvs=21),,,Sin título (https://www.notion.so/7278d2eeef07462ba162adcdb6d8f6df?pvs=21),,Amacayacu Full Day (https://www.notion.so/Amacayacu-Full-Day-fe72a29e9bcf4c2b95056265d3383e7e?pvs=21),,,Amacayacu Full Day (https://www.notion.so/Amacayacu-Full-Day-bf5f0729cdee42eda33e2cfab40d8d37?pvs=21)
Ceremonia Privada Ayahuasca,"400.000,00 COP","600.000,00 COP","800.000,00 COP","950.000,00 COP","1.100.000,00 COP",,,Medicinas ancestrales,"Una ceremonia ancestral privada en el corazón de la selva amazónica, guiada por sabios indígenas con décadas de experiencia en medicina tradicional. En nuestra maloca sagrada de Puerto Nariño, cada ritual es un puente hacia la purificación integral:","Con gusto te ofrecemos la oportunidad de participar en nuestras ceremonias privadas de ayahuasca, las cuales tienen lugar en una maloca situada en la selva de Puerto Nariño. Estas ceremonias, dirigidas por indígenas con profundos conocimientos en plantas medicinales, están diseñadas para proporcionar una experiencia de purificación y reflexión integral para el espíritu, la mente y el cuerpo.

La duración de la ceremonia es de aproximadamente 18 horas y el costo varía dependiendo del tamaño de tu grupo, comenzando desde 200,000 por persona. Recomendamos disponer de al menos tres días para este proceso, dada su naturaleza profunda y significativa.

Es importante entender que este tipo de experiencia conlleva seriedad y compromiso, y se debe abordar con el respeto y la atención que merece. Estamos aquí para ofrecerte un espacio seguro y facilitar tu viaje interior hacia la sanación y el autoconocimiento.",2,,,Puerto Nariño (https://www.notion.so/Puerto-Nari-o-b13a0cf777d94a82b3e439be050a6cba?pvs=21),27 de mayo de 2025 12:20,,,,"200.000,00 COP",Ayahuasca18hrs,Ayahuasca18hrs (https://www.notion.so/Ayahuasca18hrs-31eb074825ba4a3bb2504192b3498313?pvs=21),,Ayahuasca18hrs (https://www.notion.so/Ayahuasca18hrs-0ecadff7abe4461ea9dbd7ce7fa5d9bf?pvs=21),"Sin título (https://www.notion.so/e645531f3fb742a0830ef11daf1ccd87?pvs=21), Sin título (https://www.notion.so/f068366d648b4244b29ef926fba0929d?pvs=21)",,"Ayahuasca18hrs (https://www.notion.so/Ayahuasca18hrs-5009b6c6fdd04aefaa00e076a89b49ac?pvs=21), Ayahuasca18_Jennife_090825-18:00 (https://www.notion.so/Ayahuasca18_Jennife_090825-18-00-234f62cee1e38039b402c4cb0fd66d0f?pvs=21)",,,Ayahuasca18hrs (https://www.notion.so/Ayahuasca18hrs-f6078b976684454ea2cff8998df2fd1c?pvs=21)
